Actual_Converted,Conversion_Probability,Lead_Score,Priority_Tier
1,0.9972,99.7,Hot
1,0.9972,99.7,Hot
1,0.9972,99.7,Hot
1,0.9972,99.7,Hot
1,0.9973,99.7,Hot
1,0.9972,99.7,Hot
1,0.9966,99.7,Hot
1,0.9969,99.7,Hot
1,0.9969,99.7,Hot
1,0.9971,99.7,Hot
1,0.9972,99.7,Hot
1,0.9972,99.7,Hot
1,0.9972,99.7,Hot
1,0.9972,99.7,Hot
1,0.9972,99.7,Hot
1,0.9972,99.7,Hot
1,0.9972,99.7,Hot
1,0.9967,99.7,Hot
1,0.9971,99.7,Hot
1,0.9972,99.7,Hot
1,0.9972,99.7,Hot
1,0.9972,99.7,Hot
1,0.9972,99.7,Hot
1,0.9972,99.7,Hot
1,0.9972,99.7,Hot
1,0.997,99.7,Hot
1,0.9972,99.7,Hot
1,0.9972,99.7,Hot
1,0.9972,99.7,Hot
1,0.9959,99.6,Hot
0,0.9955,99.6,Hot
1,0.9959,99.6,Hot
1,0.9962,99.6,Hot
1,0.996,99.6,Hot
1,0.9958,99.6,Hot
1,0.9961,99.6,Hot
1,0.9959,99.6,Hot
1,0.9957,99.6,Hot
1,0.9956,99.6,Hot
1,0.9964,99.6,Hot
1,0.9958,99.6,Hot
1,0.9952,99.5,Hot
1,0.9946,99.5,Hot
1,0.9945,99.5,Hot
1,0.995,99.5,Hot
1,0.995,99.5,Hot
0,0.995,99.5,Hot
1,0.9951,99.5,Hot
1,0.9948,99.5,Hot
1,0.9954,99.5,Hot
1,0.9945,99.5,Hot
1,0.9945,99.5,Hot
1,0.9955,99.5,Hot
1,0.9951,99.5,Hot
1,0.9951,99.5,Hot
1,0.995,99.5,Hot
1,0.9945,99.5,Hot
1,0.9941,99.4,Hot
1,0.9943,99.4,Hot
1,0.994,99.4,Hot
1,0.9942,99.4,Hot
1,0.9944,99.4,Hot
1,0.9937,99.4,Hot
1,0.9938,99.4,Hot
1,0.9939,99.4,Hot
1,0.9942,99.4,Hot
1,0.9929,99.3,Hot
1,0.9926,99.3,Hot
1,0.9928,99.3,Hot
1,0.993,99.3,Hot
1,0.9932,99.3,Hot
1,0.9929,99.3,Hot
1,0.9929,99.3,Hot
1,0.9925,99.3,Hot
1,0.9917,99.2,Hot
1,0.9915,99.2,Hot
1,0.9919,99.2,Hot
1,0.9916,99.2,Hot
1,0.9918,99.2,Hot
1,0.9924,99.2,Hot
1,0.9917,99.2,Hot
1,0.9919,99.2,Hot
1,0.9924,99.2,Hot
1,0.9918,99.2,Hot
1,0.9919,99.2,Hot
1,0.992,99.2,Hot
1,0.9921,99.2,Hot
1,0.9924,99.2,Hot
1,0.9915,99.2,Hot
1,0.9917,99.2,Hot
1,0.9915,99.2,Hot
1,0.9911,99.1,Hot
1,0.9911,99.1,Hot
1,0.9911,99.1,Hot
1,0.9911,99.1,Hot
1,0.9911,99.1,Hot
1,0.9911,99.1,Hot
1,0.9911,99.1,Hot
1,0.9913,99.1,Hot
1,0.9911,99.1,Hot
1,0.9911,99.1,Hot
1,0.9906,99.1,Hot
1,0.9908,99.1,Hot
1,0.9911,99.1,Hot
1,0.9912,99.1,Hot
1,0.9906,99.1,Hot
1,0.9911,99.1,Hot
1,0.9908,99.1,Hot
1,0.9914,99.1,Hot
1,0.9912,99.1,Hot
1,0.9907,99.1,Hot
1,0.9911,99.1,Hot
1,0.9911,99.1,Hot
1,0.9911,99.1,Hot
1,0.9911,99.1,Hot
1,0.9906,99.1,Hot
1,0.9911,99.1,Hot
1,0.9907,99.1,Hot
1,0.9915,99.1,Hot
1,0.9911,99.1,Hot
0,0.9911,99.1,Hot
1,0.9915,99.1,Hot
1,0.9914,99.1,Hot
1,0.9914,99.1,Hot
1,0.991,99.1,Hot
1,0.9915,99.1,Hot
1,0.9911,99.1,Hot
1,0.9911,99.1,Hot
1,0.9901,99.0,Hot
1,0.9904,99.0,Hot
1,0.9901,99.0,Hot
1,0.9899,99.0,Hot
1,0.9898,99.0,Hot
1,0.9896,99.0,Hot
1,0.9895,99.0,Hot
1,0.9898,99.0,Hot
1,0.989,98.9,Hot
0,0.9894,98.9,Hot
1,0.9888,98.9,Hot
1,0.9894,98.9,Hot
1,0.9891,98.9,Hot
1,0.9893,98.9,Hot
1,0.9892,98.9,Hot
1,0.9888,98.9,Hot
1,0.9887,98.9,Hot
1,0.9895,98.9,Hot
1,0.9887,98.9,Hot
1,0.989,98.9,Hot
1,0.9891,98.9,Hot
1,0.9883,98.8,Hot
1,0.9883,98.8,Hot
1,0.9883,98.8,Hot
1,0.9883,98.8,Hot
1,0.9877,98.8,Hot
1,0.9876,98.8,Hot
1,0.9883,98.8,Hot
1,0.9883,98.8,Hot
1,0.988,98.8,Hot
1,0.9883,98.8,Hot
1,0.9883,98.8,Hot
1,0.9883,98.8,Hot
0,0.9883,98.8,Hot
1,0.9883,98.8,Hot
1,0.9884,98.8,Hot
1,0.9883,98.8,Hot
1,0.9883,98.8,Hot
1,0.9882,98.8,Hot
1,0.9876,98.8,Hot
1,0.9883,98.8,Hot
1,0.9883,98.8,Hot
0,0.9883,98.8,Hot
1,0.9883,98.8,Hot
1,0.9883,98.8,Hot
1,0.9883,98.8,Hot
0,0.9883,98.8,Hot
1,0.9883,98.8,Hot
1,0.9883,98.8,Hot
1,0.9879,98.8,Hot
1,0.9884,98.8,Hot
1,0.9883,98.8,Hot
1,0.9883,98.8,Hot
1,0.9883,98.8,Hot
1,0.9883,98.8,Hot
1,0.9882,98.8,Hot
1,0.9883,98.8,Hot
1,0.9883,98.8,Hot
1,0.9883,98.8,Hot
1,0.9883,98.8,Hot
1,0.9882,98.8,Hot
1,0.9883,98.8,Hot
1,0.9883,98.8,Hot
1,0.9879,98.8,Hot
1,0.9883,98.8,Hot
1,0.9883,98.8,Hot
1,0.9883,98.8,Hot
1,0.9883,98.8,Hot
1,0.9879,98.8,Hot
1,0.9883,98.8,Hot
1,0.9869,98.7,Hot
1,0.9867,98.7,Hot
1,0.9871,98.7,Hot
1,0.9865,98.7,Hot
1,0.9874,98.7,Hot
1,0.987,98.7,Hot
1,0.9873,98.7,Hot
1,0.9867,98.7,Hot
1,0.9873,98.7,Hot
1,0.9872,98.7,Hot
1,0.9871,98.7,Hot
1,0.9855,98.6,Hot
1,0.9864,98.6,Hot
1,0.9857,98.6,Hot
1,0.9858,98.6,Hot
1,0.9858,98.6,Hot
1,0.9863,98.6,Hot
1,0.9862,98.6,Hot
1,0.9855,98.6,Hot
1,0.986,98.6,Hot
1,0.986,98.6,Hot
0,0.9855,98.6,Hot
1,0.9848,98.5,Hot
1,0.9849,98.5,Hot
1,0.9848,98.5,Hot
1,0.9854,98.5,Hot
1,0.9848,98.5,Hot
1,0.9848,98.5,Hot
1,0.9848,98.5,Hot
1,0.9848,98.5,Hot
1,0.9848,98.5,Hot
1,0.9848,98.5,Hot
1,0.9848,98.5,Hot
1,0.9851,98.5,Hot
1,0.9848,98.5,Hot
1,0.9848,98.5,Hot
1,0.9848,98.5,Hot
1,0.9848,98.5,Hot
1,0.9846,98.5,Hot
1,0.9848,98.5,Hot
1,0.9848,98.5,Hot
1,0.9848,98.5,Hot
1,0.9848,98.5,Hot
1,0.9848,98.5,Hot
1,0.9848,98.5,Hot
1,0.9848,98.5,Hot
1,0.9848,98.5,Hot
1,0.9848,98.5,Hot
1,0.9848,98.5,Hot
1,0.9848,98.5,Hot
1,0.9848,98.5,Hot
1,0.9848,98.5,Hot
1,0.9848,98.5,Hot
1,0.9848,98.5,Hot
1,0.9848,98.5,Hot
1,0.9848,98.5,Hot
1,0.9847,98.5,Hot
1,0.9848,98.5,Hot
1,0.9848,98.5,Hot
1,0.9848,98.5,Hot
1,0.9846,98.5,Hot
1,0.9848,98.5,Hot
1,0.9851,98.5,Hot
1,0.9848,98.5,Hot
1,0.9848,98.5,Hot
1,0.9848,98.5,Hot
1,0.9848,98.5,Hot
1,0.9848,98.5,Hot
1,0.9848,98.5,Hot
1,0.9853,98.5,Hot
1,0.9848,98.5,Hot
1,0.9848,98.5,Hot
1,0.9848,98.5,Hot
1,0.9848,98.5,Hot
1,0.9848,98.5,Hot
1,0.9848,98.5,Hot
1,0.9848,98.5,Hot
1,0.9848,98.5,Hot
1,0.9848,98.5,Hot
1,0.9848,98.5,Hot
1,0.9844,98.4,Hot
1,0.9842,98.4,Hot
1,0.9842,98.4,Hot
1,0.9844,98.4,Hot
1,0.9828,98.3,Hot
1,0.9828,98.3,Hot
1,0.9833,98.3,Hot
1,0.9825,98.3,Hot
0,0.983,98.3,Hot
1,0.9826,98.3,Hot
1,0.983,98.3,Hot
1,0.983,98.3,Hot
1,0.9816,98.2,Hot
1,0.9815,98.2,Hot
1,0.9816,98.2,Hot
1,0.9822,98.2,Hot
1,0.9818,98.2,Hot
1,0.9815,98.2,Hot
1,0.9824,98.2,Hot
1,0.9815,98.2,Hot
1,0.9816,98.2,Hot
1,0.9815,98.2,Hot
1,0.9816,98.2,Hot
0,0.9825,98.2,Hot
0,0.9816,98.2,Hot
1,0.9816,98.2,Hot
1,0.9816,98.2,Hot
1,0.9816,98.2,Hot
1,0.9816,98.2,Hot
1,0.9816,98.2,Hot
1,0.9822,98.2,Hot
1,0.9816,98.2,Hot
1,0.9816,98.2,Hot
1,0.9816,98.2,Hot
1,0.9819,98.2,Hot
1,0.9816,98.2,Hot
1,0.9816,98.2,Hot
1,0.9816,98.2,Hot
1,0.9819,98.2,Hot
1,0.9815,98.2,Hot
1,0.9816,98.2,Hot
1,0.9815,98.2,Hot
1,0.9822,98.2,Hot
1,0.9816,98.2,Hot
1,0.982,98.2,Hot
1,0.9815,98.2,Hot
1,0.9816,98.2,Hot
1,0.9825,98.2,Hot
1,0.982,98.2,Hot
1,0.9816,98.2,Hot
1,0.9816,98.2,Hot
1,0.9808,98.1,Hot
1,0.9806,98.1,Hot
1,0.9814,98.1,Hot
1,0.9805,98.1,Hot
1,0.9808,98.1,Hot
1,0.9813,98.1,Hot
1,0.9808,98.1,Hot
1,0.9811,98.1,Hot
1,0.9796,98.0,Hot
1,0.9796,98.0,Hot
0,0.9799,98.0,Hot
1,0.9798,98.0,Hot
1,0.9796,98.0,Hot
1,0.9796,98.0,Hot
1,0.9796,98.0,Hot
1,0.9802,98.0,Hot
1,0.9795,98.0,Hot
1,0.9797,98.0,Hot
1,0.9796,98.0,Hot
1,0.9796,98.0,Hot
1,0.9793,97.9,Hot
1,0.9791,97.9,Hot
1,0.9791,97.9,Hot
1,0.9788,97.9,Hot
1,0.9785,97.9,Hot
1,0.9794,97.9,Hot
1,0.9781,97.8,Hot
1,0.9784,97.8,Hot
1,0.9779,97.8,Hot
1,0.9779,97.8,Hot
1,0.9779,97.8,Hot
1,0.978,97.8,Hot
1,0.9779,97.8,Hot
0,0.9774,97.7,Hot
1,0.9771,97.7,Hot
1,0.9766,97.7,Hot
1,0.9774,97.7,Hot
1,0.9773,97.7,Hot
1,0.9775,97.7,Hot
1,0.9765,97.7,Hot
1,0.977,97.7,Hot
1,0.9773,97.7,Hot
1,0.9755,97.6,Hot
1,0.9758,97.6,Hot
1,0.9757,97.6,Hot
1,0.976,97.6,Hot
1,0.976,97.6,Hot
1,0.9755,97.6,Hot
1,0.9765,97.6,Hot
1,0.976,97.6,Hot
1,0.9748,97.5,Hot
1,0.9752,97.5,Hot
1,0.975,97.5,Hot
1,0.9749,97.5,Hot
1,0.9747,97.5,Hot
1,0.9751,97.5,Hot
1,0.9753,97.5,Hot
1,0.9754,97.5,Hot
1,0.9752,97.5,Hot
1,0.9752,97.5,Hot
1,0.9748,97.5,Hot
1,0.9745,97.5,Hot
1,0.9739,97.4,Hot
1,0.9737,97.4,Hot
1,0.9735,97.4,Hot
1,0.9745,97.4,Hot
1,0.9745,97.4,Hot
1,0.9743,97.4,Hot
1,0.9728,97.3,Hot
1,0.9734,97.3,Hot
1,0.973,97.3,Hot
1,0.9732,97.3,Hot
1,0.9726,97.3,Hot
1,0.9734,97.3,Hot
1,0.9726,97.3,Hot
1,0.9726,97.3,Hot
1,0.9718,97.2,Hot
1,0.9716,97.2,Hot
1,0.9718,97.2,Hot
1,0.9716,97.2,Hot
1,0.9723,97.2,Hot
1,0.9718,97.2,Hot
1,0.9718,97.2,Hot
1,0.9718,97.2,Hot
1,0.9718,97.2,Hot
1,0.9722,97.2,Hot
1,0.9717,97.2,Hot
1,0.9718,97.2,Hot
1,0.9718,97.2,Hot
0,0.9718,97.2,Hot
1,0.9718,97.2,Hot
1,0.9718,97.2,Hot
1,0.9718,97.2,Hot
1,0.9718,97.2,Hot
1,0.9718,97.2,Hot
1,0.9718,97.2,Hot
1,0.9718,97.2,Hot
1,0.9718,97.2,Hot
1,0.9725,97.2,Hot
1,0.9718,97.2,Hot
1,0.9718,97.2,Hot
1,0.9718,97.2,Hot
1,0.9718,97.2,Hot
1,0.9718,97.2,Hot
1,0.9715,97.2,Hot
1,0.9718,97.2,Hot
1,0.9718,97.2,Hot
1,0.9718,97.2,Hot
1,0.9718,97.2,Hot
1,0.9718,97.2,Hot
1,0.9718,97.2,Hot
1,0.9718,97.2,Hot
1,0.9718,97.2,Hot
1,0.9718,97.2,Hot
1,0.9718,97.2,Hot
1,0.9718,97.2,Hot
1,0.9718,97.2,Hot
1,0.9718,97.2,Hot
1,0.9718,97.2,Hot
0,0.9718,97.2,Hot
1,0.972,97.2,Hot
1,0.9718,97.2,Hot
1,0.9718,97.2,Hot
1,0.9718,97.2,Hot
1,0.9718,97.2,Hot
1,0.9712,97.1,Hot
1,0.9707,97.1,Hot
1,0.9708,97.1,Hot
1,0.9713,97.1,Hot
1,0.9715,97.1,Hot
1,0.9714,97.1,Hot
1,0.9704,97.0,Hot
1,0.9696,97.0,Hot
1,0.9703,97.0,Hot
1,0.9697,97.0,Hot
1,0.9697,97.0,Hot
1,0.9698,97.0,Hot
1,0.9697,97.0,Hot
1,0.9697,97.0,Hot
1,0.9688,96.9,Hot
1,0.9686,96.9,Hot
1,0.9695,96.9,Hot
1,0.9695,96.9,Hot
1,0.9687,96.9,Hot
1,0.9692,96.9,Hot
1,0.9679,96.8,Hot
1,0.968,96.8,Hot
1,0.9683,96.8,Hot
1,0.968,96.8,Hot
1,0.9681,96.8,Hot
1,0.9682,96.8,Hot
1,0.9673,96.7,Hot
1,0.9669,96.7,Hot
1,0.9673,96.7,Hot
1,0.9673,96.7,Hot
1,0.9669,96.7,Hot
1,0.9674,96.7,Hot
1,0.9668,96.7,Hot
1,0.967,96.7,Hot
1,0.9674,96.7,Hot
1,0.9674,96.7,Hot
1,0.9674,96.7,Hot
1,0.9665,96.6,Hot
0,0.9656,96.6,Hot
1,0.9662,96.6,Hot
1,0.9663,96.6,Hot
1,0.9664,96.6,Hot
0,0.9664,96.6,Hot
1,0.9657,96.6,Hot
1,0.9653,96.5,Hot
1,0.9649,96.5,Hot
1,0.9647,96.5,Hot
1,0.9646,96.5,Hot
1,0.965,96.5,Hot
1,0.9653,96.5,Hot
1,0.9645,96.5,Hot
1,0.9636,96.4,Hot
1,0.9642,96.4,Hot
1,0.9636,96.4,Hot
1,0.9638,96.4,Hot
1,0.9637,96.4,Hot
1,0.9636,96.4,Hot
1,0.9635,96.3,Hot
1,0.9633,96.3,Hot
1,0.9628,96.3,Hot
1,0.9625,96.3,Hot
1,0.9628,96.3,Hot
1,0.9629,96.3,Hot
1,0.9632,96.3,Hot
1,0.9625,96.2,Hot
1,0.9624,96.2,Hot
1,0.9616,96.2,Hot
1,0.961,96.1,Hot
1,0.9607,96.1,Hot
1,0.9605,96.1,Hot
1,0.9609,96.1,Hot
1,0.9607,96.1,Hot
1,0.9606,96.1,Hot
1,0.9608,96.1,Hot
1,0.9612,96.1,Hot
1,0.9606,96.1,Hot
1,0.96,96.0,Hot
1,0.9596,96.0,Hot
1,0.9595,96.0,Hot
1,0.9601,96.0,Hot
1,0.9596,96.0,Hot
1,0.96,96.0,Hot
1,0.9592,95.9,Hot
1,0.959,95.9,Hot
1,0.9593,95.9,Hot
1,0.9595,95.9,Hot
1,0.9577,95.8,Hot
1,0.9585,95.8,Hot
0,0.9581,95.8,Hot
1,0.9579,95.8,Hot
1,0.9576,95.8,Hot
1,0.958,95.8,Hot
1,0.9578,95.8,Hot
1,0.9575,95.8,Hot
1,0.9582,95.8,Hot
1,0.9579,95.8,Hot
1,0.9576,95.8,Hot
1,0.958,95.8,Hot
1,0.9573,95.7,Hot
1,0.9573,95.7,Hot
1,0.9572,95.7,Hot
1,0.957,95.7,Hot
1,0.9573,95.7,Hot
1,0.957,95.7,Hot
1,0.9575,95.7,Hot
1,0.957,95.7,Hot
1,0.9564,95.6,Hot
1,0.9561,95.6,Hot
1,0.9557,95.6,Hot
0,0.9564,95.6,Hot
1,0.9559,95.6,Hot
1,0.9556,95.6,Hot
1,0.9564,95.6,Hot
1,0.9552,95.5,Hot
1,0.9546,95.5,Hot
1,0.9549,95.5,Hot
1,0.9554,95.5,Hot
1,0.955,95.5,Hot
1,0.9551,95.5,Hot
1,0.9551,95.5,Hot
1,0.955,95.5,Hot
1,0.9542,95.4,Hot
0,0.954,95.4,Hot
1,0.9535,95.4,Hot
1,0.9545,95.4,Hot
1,0.9544,95.4,Hot
1,0.9543,95.4,Hot
1,0.9537,95.4,Hot
1,0.954,95.4,Hot
1,0.9537,95.4,Hot
1,0.954,95.4,Hot
1,0.9537,95.4,Hot
1,0.9531,95.3,Hot
1,0.9531,95.3,Hot
1,0.9531,95.3,Hot
1,0.9531,95.3,Hot
1,0.9531,95.3,Hot
1,0.9531,95.3,Hot
1,0.9531,95.3,Hot
1,0.9531,95.3,Hot
1,0.953,95.3,Hot
0,0.9531,95.3,Hot
1,0.9531,95.3,Hot
1,0.9534,95.3,Hot
1,0.9531,95.3,Hot
1,0.9525,95.3,Hot
1,0.9531,95.3,Hot
1,0.9531,95.3,Hot
1,0.9531,95.3,Hot
1,0.9534,95.3,Hot
1,0.9533,95.3,Hot
1,0.9531,95.3,Hot
1,0.9521,95.2,Hot
1,0.952,95.2,Hot
1,0.9521,95.2,Hot
1,0.9521,95.2,Hot
0,0.9517,95.2,Hot
1,0.9521,95.2,Hot
1,0.9507,95.1,Hot
0,0.9511,95.1,Hot
1,0.951,95.1,Hot
1,0.9507,95.1,Hot
1,0.9511,95.1,Hot
1,0.9512,95.1,Hot
1,0.9506,95.1,Hot
1,0.951,95.1,Hot
1,0.9504,95.0,Hot
1,0.9499,95.0,Hot
1,0.9498,95.0,Hot
1,0.95,95.0,Hot
0,0.9502,95.0,Hot
1,0.9504,95.0,Hot
1,0.9486,94.9,Hot
1,0.9487,94.9,Hot
1,0.9488,94.9,Hot
1,0.9491,94.9,Hot
1,0.9495,94.9,Hot
1,0.9492,94.9,Hot
1,0.9489,94.9,Hot
0,0.9482,94.8,Hot
1,0.9481,94.8,Hot
1,0.948,94.8,Hot
1,0.9478,94.8,Hot
1,0.9484,94.8,Hot
0,0.9484,94.8,Hot
1,0.948,94.8,Hot
1,0.9466,94.7,Hot
1,0.9467,94.7,Hot
1,0.9471,94.7,Hot
1,0.947,94.7,Hot
1,0.947,94.7,Hot
1,0.9466,94.7,Hot
1,0.9469,94.7,Hot
0,0.9464,94.6,Hot
0,0.946,94.6,Hot
1,0.9457,94.6,Hot
1,0.9458,94.6,Hot
1,0.9458,94.6,Hot
1,0.9464,94.6,Hot
1,0.9455,94.5,Hot
1,0.9447,94.5,Hot
0,0.9451,94.5,Hot
1,0.9455,94.5,Hot
0,0.9447,94.5,Hot
1,0.9451,94.5,Hot
1,0.9446,94.5,Hot
1,0.9447,94.5,Hot
1,0.944,94.4,Hot
1,0.9436,94.4,Hot
1,0.9442,94.4,Hot
1,0.9439,94.4,Hot
1,0.9436,94.4,Hot
1,0.9437,94.4,Hot
1,0.943,94.3,Hot
1,0.9428,94.3,Hot
1,0.9427,94.3,Hot
1,0.9421,94.2,Hot
1,0.942,94.2,Hot
1,0.9423,94.2,Hot
1,0.9418,94.2,Hot
1,0.9409,94.1,Hot
1,0.9409,94.1,Hot
1,0.9413,94.1,Hot
0,0.9414,94.1,Hot
1,0.9411,94.1,Hot
1,0.9413,94.1,Hot
1,0.9406,94.1,Hot
1,0.9409,94.1,Hot
1,0.9414,94.1,Hot
1,0.9411,94.1,Hot
1,0.9412,94.1,Hot
0,0.9407,94.1,Hot
0,0.9405,94.0,Hot
1,0.9401,94.0,Hot
1,0.9395,94.0,Hot
1,0.9404,94.0,Hot
1,0.9397,94.0,Hot
1,0.9402,94.0,Hot
1,0.9396,94.0,Hot
1,0.9391,93.9,Hot
1,0.9391,93.9,Hot
1,0.9391,93.9,Hot
1,0.9391,93.9,Hot
1,0.9391,93.9,Hot
1,0.9391,93.9,Hot
1,0.9391,93.9,Hot
1,0.9391,93.9,Hot
1,0.9391,93.9,Hot
1,0.9391,93.9,Hot
1,0.9391,93.9,Hot
1,0.9391,93.9,Hot
1,0.9391,93.9,Hot
1,0.9391,93.9,Hot
1,0.9394,93.9,Hot
1,0.9391,93.9,Hot
1,0.9391,93.9,Hot
1,0.9391,93.9,Hot
1,0.9391,93.9,Hot
1,0.9391,93.9,Hot
1,0.9391,93.9,Hot
1,0.9387,93.9,Hot
1,0.9387,93.9,Hot
1,0.9391,93.9,Hot
1,0.9392,93.9,Hot
1,0.9391,93.9,Hot
1,0.9391,93.9,Hot
1,0.9391,93.9,Hot
1,0.9391,93.9,Hot
1,0.9393,93.9,Hot
1,0.9391,93.9,Hot
1,0.9391,93.9,Hot
1,0.9388,93.9,Hot
1,0.9391,93.9,Hot
1,0.9391,93.9,Hot
1,0.9391,93.9,Hot
1,0.9389,93.9,Hot
1,0.9382,93.8,Hot
1,0.9381,93.8,Hot
1,0.9382,93.8,Hot
1,0.9382,93.8,Hot
1,0.9376,93.8,Hot
1,0.9381,93.8,Hot
1,0.9381,93.8,Hot
1,0.9384,93.8,Hot
1,0.9381,93.8,Hot
1,0.9382,93.8,Hot
1,0.9376,93.8,Hot
1,0.9382,93.8,Hot
1,0.9382,93.8,Hot
1,0.9382,93.8,Hot
1,0.9381,93.8,Hot
1,0.9382,93.8,Hot
1,0.9377,93.8,Hot
1,0.9373,93.7,Hot
1,0.9372,93.7,Hot
1,0.9364,93.6,Hot
1,0.9359,93.6,Hot
1,0.9363,93.6,Hot
1,0.9363,93.6,Hot
1,0.9359,93.6,Hot
1,0.9357,93.6,Hot
0,0.935,93.5,Hot
0,0.9351,93.5,Hot
1,0.9347,93.5,Hot
0,0.9345,93.5,Hot
1,0.9351,93.5,Hot
1,0.935,93.5,Hot
1,0.9349,93.5,Hot
1,0.9353,93.5,Hot
1,0.9354,93.5,Hot
1,0.935,93.5,Hot
1,0.935,93.5,Hot
1,0.9354,93.5,Hot
1,0.9337,93.4,Hot
1,0.9343,93.4,Hot
1,0.934,93.4,Hot
1,0.9337,93.4,Hot
1,0.9338,93.4,Hot
1,0.9333,93.3,Hot
0,0.9326,93.3,Hot
1,0.9334,93.3,Hot
1,0.9329,93.3,Hot
1,0.9329,93.3,Hot
0,0.9326,93.3,Hot
1,0.9332,93.3,Hot
1,0.9333,93.3,Hot
1,0.9325,93.3,Hot
1,0.9329,93.3,Hot
0,0.9319,93.2,Hot
1,0.9323,93.2,Hot
0,0.9325,93.2,Hot
1,0.9318,93.2,Hot
1,0.9316,93.2,Hot
0,0.9315,93.2,Hot
1,0.9318,93.2,Hot
1,0.9323,93.2,Hot
1,0.932,93.2,Hot
1,0.932,93.2,Hot
1,0.9312,93.1,Hot
1,0.9308,93.1,Hot
1,0.9308,93.1,Hot
1,0.9308,93.1,Hot
1,0.9312,93.1,Hot
1,0.9314,93.1,Hot
1,0.9309,93.1,Hot
1,0.9303,93.0,Hot
1,0.9297,93.0,Hot
0,0.9298,93.0,Hot
1,0.9293,92.9,Hot
1,0.9295,92.9,Hot
1,0.9294,92.9,Hot
1,0.9295,92.9,Hot
1,0.9292,92.9,Hot
1,0.9289,92.9,Hot
1,0.9288,92.9,Hot
1,0.9284,92.8,Hot
1,0.9284,92.8,Hot
1,0.9282,92.8,Hot
1,0.9277,92.8,Hot
1,0.9285,92.8,Hot
1,0.927,92.7,Hot
1,0.927,92.7,Hot
1,0.927,92.7,Hot
0,0.927,92.7,Hot
0,0.927,92.7,Hot
0,0.9267,92.7,Hot
1,0.927,92.7,Hot
1,0.9267,92.7,Hot
1,0.927,92.7,Hot
1,0.927,92.7,Hot
1,0.927,92.7,Hot
1,0.9267,92.7,Hot
1,0.927,92.7,Hot
1,0.9259,92.6,Hot
1,0.9256,92.6,Hot
1,0.9265,92.6,Hot
1,0.9264,92.6,Hot
1,0.9258,92.6,Hot
1,0.926,92.6,Hot
1,0.9247,92.5,Hot
1,0.9246,92.5,Hot
1,0.9252,92.5,Hot
1,0.9255,92.5,Hot
1,0.925,92.5,Hot
1,0.9238,92.4,Hot
1,0.9241,92.4,Hot
1,0.9239,92.4,Hot
1,0.9245,92.4,Hot
1,0.9243,92.4,Hot
1,0.9231,92.3,Hot
1,0.9226,92.3,Hot
1,0.9232,92.3,Hot
1,0.9232,92.3,Hot
1,0.9234,92.3,Hot
